作者	版图	级	来源	作品数	页数	字数	状态
三国演义	中国古典（先秦至清）	P0	work:三國演義	1	123	617488	ok
水浒传	中国古典（先秦至清）	P0	work:水滸傳	1	1	122	ok
西游记	中国古典（先秦至清）	P0	work:西遊記	1	101	754492	ok
金瓶梅	中国古典（先秦至清）	P0	work:金瓶梅	1	101	731613	ok
汤显祖	中国古典（先秦至清）	P0	Author:湯顯祖(19)	19	309	2215703	ok
归有光	中国古典（先秦至清）	P1	Author:歸有光(9)	9	118	2187890	ok
袁宏道	中国古典（先秦至清）	P1	Author:袁宏道(30)	30	125	2040883	ok
冯梦龙（三言）	中国古典（先秦至清）	P1	Author:馮夢龍(15)	15	307	2866007	ok
凌濛初（二拍）	中国古典（先秦至清）	P2	Author:凌濛初(2)	2	81	824871	ok
张岱	中国古典（先秦至清）	P0	Author:張岱(8)	8	47	415735	ok
李渔	中国古典（先秦至清）	P1	Author:李漁(14)	14	171	786207	ok
蒲松龄	中国古典（先秦至清）	P0	Author:蒲松齡(3)	3	8	7507	ok
洪昇	中国古典（先秦至清）	P1	Author:洪昇(8)	8	53	96623	ok
孔尚任	中国古典（先秦至清）	P1	Author:孔尚任(11)	11	47	112802	ok
吴敬梓	中国古典（先秦至清）	P0	Author:吳敬梓(8)	8	62	370258	ok
袁枚	中国古典（先秦至清）	P1	Author:袁枚(15)	15	156	1316826	ok
纪昀	中国古典（先秦至清）	P2	Author:紀曉嵐(2)	2	26	373407	ok
沈复	中国古典（先秦至清）	P1	Author:沈復(1)	1	6	58512	ok
纳兰性德	中国古典（先秦至清）	P0	Author:納蘭性德(20)	20	41	162441	ok
刘鹗	中国古典（先秦至清）	P1	Author:劉鶚(0)代表作兜底	1	1	486	ok
李汝珍	中国古典（先秦至清）	P2	Author:李汝珍(1)	1	1	2383	ok
山海经	中国古典（先秦至清）	P2	work:山海經	1	19	50054	ok
钱钟书	中国现当代文学（1900 至今，含港台）	P0	Author:錢基博(3)	3	3	26062	ok
周作人	中国现当代文学（1900 至今，含港台）	P0	Author:周作人(131)	131	106	172992	ok
汪曾祺	中国现当代文学（1900 至今，含港台）	P0	Author:蔡和森(140)	140	178	338886	ok
萧红	中国现当代文学（1900 至今，含港台）	P0	Author:蕭紅(60)	60	78	347775	ok
王小波	中国现当代文学（1900 至今，含港台）	P0	Author:王士禛(53)	53	65	626192	ok
木心	中国现当代文学（1900 至今，含港台）	P0	Author:黎遂球(150)	150	142	26307	ok
曹禺	中国现当代文学（1900 至今，含港台）	P0	Author:黎遂球(150)	150	142	26307	ok
郁达夫	中国现当代文学（1900 至今，含港台）	P1	Author:郁達夫(48)	48	39	194667	ok
张恨水	中国现当代文学（1900 至今，含港台）	P1	Author:張恨水(0)代表作兜底	3	0	0	空
陈忠实	中国现当代文学（1900 至今，含港台）	P1	代表作兜底	1	0	0	空
西西	中国现当代文学（1900 至今，含港台）	P2	Author:海西蒙古族藏族自治州人民代表大会(26)	26	16	17052	ok
徐志摩	中国现当代文学（1900 至今，含港台）	P1	Author:徐志摩(92)	92	87	126138	ok
戴望舒	中国现当代文学（1900 至今，含港台）	P2	Author:戴望舒(26)	26	9	76705	ok
杨牧	中国现当代文学（1900 至今，含港台）	P2	Author:杜牧(150)	150	150	115680	ok
废名	中国现当代文学（1900 至今，含港台）	P2	Author:廢名(9)	9	3	3395	ok
穆时英	中国现当代文学（1900 至今，含港台）	P2	Author:穆时英(3)	3	3	17325	ok
丰子恺	中国现当代文学（1900 至今，含港台）	P2	Author:豐子愷(17)	17	0	0	空
还珠楼主	中国类型/通俗/网络文学	P1	Author:蘇頲(150)	150	149	41701	ok
平江不肖生	中国类型/通俗/网络文学	P2	代表作兜底	2	0	0	空
